season,team,coach_name
2003,Rutgers,Gary Waters
2003,Texas A&M,Melvin Watkins
2003,Detroit Mercy,Perry Watson
2003,Stetson,Derek Waugh
2003,Southern Illinois,Bruce Weber
2003,Providence,Tim Welsh
2003,Pepperdine,Paul Westphal
2003,Marshall,Greg White
2003,Alcorn State,Davey Whitney
2003,Wagner,Dereck Whittenburg
2003,Holy Cross,Ralph Willard
2003,UC Santa Barbara,Bob Williams
2003,Maryland,Gary Williams
2003,Kansas,Roy Williams
2003,Rice,Willis Wilson
2003,Buffalo,Reggie Witherspoon
2003,Boston University,Dennis Wolff
2003,Kansas State,Jim Wooldridge
2003,Villanova,Jay Wright
2003,Grambling,Larry Wright
2003,Wofford,Mike Young
2003,Kansas City,Rich Zvosec
2004,Northern Arizona,Mike Adras
2004,Loyola Marymount,Steve Aggers
2004,Tennessee State,Cy Alexander
2004,Iowa,Steve Alford
2004,Howard,Frankie Allen
2004,Creighton,Dana Altman
2004,Michigan,Tommy Amaker
2004,UAB,Mike Anderson Sr
2004,Jackson State,Tevester Anderson
2004,Texas A&M-Corpus Christi,Ronnie Arrow
2004,Texas,Rick Barnes
2004,Ole Miss,Rod Barnes
2004,Rhode Island,Jim Baron
2004,ETSU,Murry Bartow
2004,Morgan State,Butch Beard
2004,West Virginia,John Beilein
2004,VMI,Bart Bellairs
2004,Washington State,Dick Bennett
2004,Saint Mary's,Randy Bennett
2004,South Carolina State,Ben Betts Jr
2004,Wright State,Paul Biancardi
2004,USC,Henry Bibby
2004,UNC Asheville,Eddie Biedenbach
2004,Sacred Heart,Dave Bike
2004,Nicholls State,Ricky Blanton
2004,Syracuse,Jim Boeheim
2004,Eastern Michigan,Jim Boone
2004,LSU,John Brady
2004,Cal State Northridge,Bobby Braswell
2004,California,Ben Braun
2004,Vermont,Tom Brennan
2004,Notre Dame,Mike Brey
2004,Cal Poly,Kevin Bromley
2004,Mount St. Mary's,Milan Brown
2004,Albany (NY),Will Brown
2004,UNC Wilmington,Brad Brownell
2004,Ball State,Tim Buckley
2004,Cal State Fullerton,Bob Burton
2004,Belmont,Rick Byrd
2004,UConn,Jim Calhoun
2004,Memphis,John Calipari
2004,Monmouth,Dave Calloway
2004,UT-Martin,Bret Campbell
2004,VCU,Jeff Capel III
2004,Northwestern,Bill Carmody
2004,Denver,Terry Carroll
2004,UTSA,Tim Carter
2004,Temple,John Chaney
2004,Kent State,Jim Christian
2004,St. John's (NY),Kevin Clark
2004,Miami (FL),Perry Clark
2004,BYU,Steve Cleveland
2004,Miami (OH),Charlie Coles
2004,Nebraska,Barry Collier
2004,Hampton,Bobby Collins
2004,UIC,Jimmy Collins
2004,Texas Southern,Ronnie Courtney
2004,Weber State,Joe Cravens
2004,Marquette,Tom Crean
2004,Army,Jim Crews
2004,Murray State,Mick Cronin
2004,Bowling Green,Dan Dakich
2004,Savannah State,Ed Daniels
2004,Santa Clara,Dick Davey
2004,Colgate,Emmett Davis
2004,Middle Tennessee,Kermit Davis Jr
2004,Furman,Larry Davis
2004,Indiana,Mike Davis
2004,Drake,Tom Davis
2004,Penn State,Ed DeChellis
2004,Quinnipiac,Joe DeSantis
2004,Navy,Don DeVoe
2004,Wagner,Mike Deane
2004,SMU,Mike Dement
2004,The Citadel,Pat Dennis
2004,Central Connecticut,Howie Dickenman
2004,James Madison,Sherman Dillard
2004,Pitt,Jamie Dixon
2004,Cornell,Steve Donahue
2004,Florida,Billy Donovan
2004,TCU,Neil Dougherty
2004,UC Irvine,Pat Douglass
2004,Valparaiso,Homer Drew
2004,Baylor,Scott Drew
2004,Penn,Fran Dunphy
2004,Liberty,Randy Dunton
2004,Jacksonville,Hugh Durham
2004,Montana State,Mick Durham
2004,North Carolina A&T,Jerry Eaves
2004,Auburn,Cliff Ellis
2004,Georgetown,Craig Esherick
2004,Southern Utah,Bill Evans
2004,Louisiana,Jessie Evans
2004,Arizona State,Rob Evans
2004,Northeastern,Ron Everhart
2004,Appalachian State,Houston Fancher
2004,Loyola (IL),Larry Farmer
2004,Dartmouth,Dave Faucher
2004,Georgia,Dennis Felton
2004,LIU,Jim Ferry
2004,Gonzaga,Mark Few
2004,Tulane,Shawn Finney
2004,San Diego State,Steve Fisher*
2004,Bucknell,Pat Flannery
2004,Drexel,Bruiser Flint
2004,Eastern Kentucky,Travis Ford
2004,Prairie View A&M,Jerry Francis
2004,Norfolk State,Dwight Freeman
2004,St. Francis (NY),Ron Ganulin
2004,Cleveland State,Mike Garland
2004,Southeast Missouri State,Gary Garner
