season,round,accuracy,log_loss,n
2019,1,0.625,0.5107461120024324,64
2019,2,0.9375,0.3288977818334238,32
2019,3,0.625,0.6205488275299178,16
2019,4,0.25,0.8454769136062186,8
2019,5,0.5,0.5591299022995435,4
2019,6,1.0,0.4423080468778507,2
2021,1,0.6774193548387096,0.6076676975598627,62
2021,2,0.625,0.7148157294356812,32
2021,3,0.75,0.5821902725568945,16
2021,4,0.75,0.8100383307067884,8
2021,5,1.0,0.3246131541583237,4
2021,6,0.5,0.7018972243664686,2
